Outcome,Variable,Coef,SE,Stars,Lower,Upper,Figure,Dimensions,Clusters,Agreement,Separation,MinShare
Overall NbS,Age,0.006,0.003,2.0,0.00012000000000000031,0.01188,Dual-driver main-text robustness,,,,,
Individual NbS,Age,0.007,0.003,3.0,0.0011200000000000003,0.012879999999999999,Dual-driver main-text robustness,,,,,
Collaborative NbS,Age,0.0,0.002,0.0,-0.00392,0.00392,Dual-driver main-text robustness,,,,,
Overall NbS,Gender,-0.056,0.076,0.0,-0.20495999999999998,0.09295999999999999,Dual-driver main-text robustness,,,,,
Individual NbS,Gender,-0.125,0.079,0.0,-0.27984,0.029840000000000005,Dual-driver main-text robustness,,,,,
Collaborative NbS,Gender,-0.029,0.067,0.0,-0.16032,0.10232,Dual-driver main-text robustness,,,,,
,,,,,,,Baseline-aligned sensitivity,2.0,2.0,0.2685468002210721,0.33741542645232697,0.4122137404580153
,,,,,,,Baseline-aligned sensitivity,2.0,3.0,1.0,0.28086946071188235,0.13740458015267176
,,,,,,,Baseline-aligned sensitivity,2.0,4.0,0.35387883263981745,0.41958516620848874,0.183206106870229
,,,,,,,Baseline-aligned sensitivity,2.0,5.0,0.3306860388493621,0.4060862812369737,0.15267175572519084
,,,,,,,Baseline-aligned sensitivity,3.0,2.0,0.1501996007984032,0.25197736980742785,0.26717557251908397
,,,,,,,Baseline-aligned sensitivity,3.0,3.0,0.382248239537986,0.2810874112969018,0.16030534351145037
,,,,,,,Baseline-aligned sensitivity,3.0,4.0,0.3212151381495593,0.317578744646817,0.16030534351145037
,,,,,,,Baseline-aligned sensitivity,3.0,5.0,0.40328674688113403,0.31046464603388074,0.13740458015267176
,,,,,,,Baseline-aligned sensitivity,4.0,2.0,0.2964805019027614,0.27379125955139016,0.2900763358778626
,,,,,,,Baseline-aligned sensitivity,4.0,3.0,0.31657211615493386,0.22539593861338056,0.2900763358778626
,,,,,,,Baseline-aligned sensitivity,4.0,4.0,0.31657211615493386,0.23026266838000556,0.17557251908396945
,,,,,,,Baseline-aligned sensitivity,4.0,5.0,0.2695690720117165,0.2660438161226159,0.1297709923664122
,,,,,,,Baseline-aligned sensitivity,5.0,2.0,0.2055922457156403,0.23493551392851447,0.32061068702290074
,,,,,,,Baseline-aligned sensitivity,5.0,3.0,0.2569313461637259,0.19469943824066324,0.26717557251908397
,,,,,,,Baseline-aligned sensitivity,5.0,4.0,0.2569313461637259,0.20423302993039333,0.1984732824427481
,,,,,,,Baseline-aligned sensitivity,5.0,5.0,0.26248808857376504,0.23290387645065744,0.11450381679389313
,,,,,,,Baseline-aligned sensitivity,6.0,2.0,0.2055922457156403,0.2078897479990589,0.32061068702290074
,,,,,,,Baseline-aligned sensitivity,6.0,3.0,0.17911945356964193,0.19449735460252174,0.32061068702290074
,,,,,,,Baseline-aligned sensitivity,6.0,4.0,0.2060953153258953,0.21470561969390276,0.11450381679389313
,,,,,,,Baseline-aligned sensitivity,6.0,5.0,0.2060953153258953,0.1909620812925126,0.11450381679389313
